,roi_name,geom_mica,idx_csv,geom_csv
189,7Networks_RH_Default_PFC,[48.7210578918457 26.8137264251709 1.0814383029937744],189,[50 28 0]
190,7Networks_RH_Default_PFCdPFC,[3.037107467651367 34.008846282958984 -14.130549430847168],190,[4 36 -14]
191,7Networks_RH_Default_PFCdPFC,[10.692763328552246 43.42582702636719 4.274121284484863],191,[8 42 4]
192,7Networks_RH_Default_PFCdPFC,[4.750230312347412 27.48843765258789 16.661117553710938],192,[6 28 16]
193,7Networks_RH_Default_PFCdPFC,[5.7854719161987305 56.20343017578125 18.68391990661621],193,[8 58 18]
194,7Networks_RH_Default_PFCdPFC,[15.136632919311523 44.02488327026367 42.87883758544922],194,[16 46 44]
195,7Networks_RH_Default_PFCdPFC,[27.61702537536621 26.597366333007812 42.260658264160156],195,[28 30 42]
196,7Networks_RH_Default_PFCdPFC,[23.2607364654541 20.252120971679688 49.3818244934082],196,[24 24 54]
197,7Networks_RH_Default_pCunPC,[12.506010055541992 -57.099159240722656 12.968290328979492],197,[12 -54 14]
198,7Networks_RH_Default_pCunPC,[5.634599208831787 -51.150230407714844 31.045867919921875],198,[6 -48 30]
199,7Networks_RH_Default_pCunPC,[5.056862831115723 -57.4957389831543 44.25153732299805],199,[6 -58 44]
